"date","Bill Number ","Item Desc","Quantity","Rate","Tax","Discount","Total","Category"
"Thu Apr 01 2010 15:15:11 GMT+0200 (Central European Summer Time)","G0470115","QUA  MINERAL WATER(1000ML)    ","1","50","11.88","0","61.88","BEVERAGE"
"Thu Apr 01 2010 15:15:11 GMT+0200 (Central European Summer Time)","G0470115","MONSOON MALABAR (AULAIT)      ","1","100","23.75","0","123.75","BEVERAGE"
"Thu Apr 01 2010 15:17:35 GMT+0200 (Central European Summer Time)","G0470116","MASALA CHAI CUTTING           ","1","40","9.5","0","49.5","BEVERAGE"
"Thu Apr 01 2010 15:19:55 GMT+0200 (Central European Summer Time)","G0470117","QUA  MINERAL WATER(1000ML)    ","1","50","11.88","0","61.88","BEVERAGE"
"Thu Apr 01 2010 03:20:18 GMT+0200 (Central European Summer Time)","G0470283","MOROCCAN MINT TEA             ","1","45","10.69","0","55.69","BEVERAGE"
"Thu Apr 01 2010 03:20:18 GMT+0200 (Central European Summer Time)","G0470283","QUA  MINERAL WATER(1000ML)    ","1","50","11.88","0","61.88","BEVERAGE"
"Thu Apr 01 2010 15:21:34 GMT+0200 (Central European Summer Time)","G0470118","MASALA CHAI CUTTING           ","1","40","9.5","0","49.5","BEVERAGE"
"Thu Apr 01 2010 15:21:34 GMT+0200 (Central European Summer Time)","G0470118","MOROCCAN MINT TEA             ","1","45","10.69","0","55.69","BEVERAGE"
"Thu Apr 01 2010 03:29:38 GMT+0200 (Central European Summer Time)","G0470284","CAPPUCCINO                    ","1","60","14.25","0","74.25","BEVERAGE"
"Thu Apr 01 2010 03:29:46 GMT+0200 (Central European Summer Time)","G0470285","MOROCCAN MINT TEA             ","1","45","10.69","0","55.69","BEVERAGE"
"Thu Apr 01 2010 03:29:46 GMT+0200 (Central European Summer Time)","G0470285","SUMATRA MANDHELING (REG)      ","1","95","22.56","0","117.56","BEVERAGE"
"Thu Apr 01 2010 03:29:46 GMT+0200 (Central European Summer Time)","G0470285","BRAZIL BOURBONSANTOS (AULAIT) ","1","115","27.31","0","142.31","BEVERAGE"
"Thu Apr 01 2010 15:36:33 GMT+0200 (Central European Summer Time)","G0470120","LEMON ICED TEA                ","1","85","20.19","0","105.19","BEVERAGE"
"Thu Apr 01 2010 15:42:05 GMT+0200 (Central European Summer Time)","G0470122","COUNTRY LEMONADE              ","1","85","20.19","0","105.19","BEVERAGE"
"Thu Apr 01 2010 15:42:05 GMT+0200 (Central European Summer Time)","G0470122","LEMON ICED TEA                ","2","85","40.38","0","210.38","BEVERAGE"
"Thu Apr 01 2010 16:02:15 GMT+0200 (Central European Summer Time)","G0470127","CAPPUCCINO                    ","1","60","14.25","0","74.25","BEVERAGE"
"Thu Apr 01 2010 16:02:35 GMT+0200 (Central European Summer Time)","G0470128","QUA  MINERAL WATER(1000ML)    ","1","50","11.88","0","61.88","BEVERAGE"
"Thu Apr 01 2010 16:21:32 GMT+0200 (Central European Summer Time)","G0470133","CAPPUCCINO                    ","2","60","28.5","0","148.5","BEVERAGE"
"Thu Apr 01 2010 16:53:24 GMT+0200 (Central European Summer Time)","G0470139","QUA  MINERAL WATER(1000ML)    ","1","50","11.88","0","61.88","BEVERAGE"
"Thu Apr 01 2010 16:54:32 GMT+0200 (Central European Summer Time)","G0470140","MIAMI MELONS                  ","1","85","20.19","0","105.19","BEVERAGE"
